사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
2023-02,1호선,150,서울역,1249188,1200852,189394,179379,2023-03-03 09:44:36
2023-02,1호선,151,시청,586202,598377,87441,84167,2023-03-03 09:44:36
2023-02,1호선,152,종각,916978,900438,135260,128068,2023-03-03 09:44:36
2023-02,1호선,153,종로3가,463092,422317,296614,274619,2023-03-03 09:44:36
2023-02,1호선,154,종로5가,440520,440031,238125,229346,2023-03-03 09:44:36
2023-02,1호선,155,동대문,203174,193753,113345,112857,2023-03-03 09:44:36
2023-02,1호선,156,신설동,260818,254274,111587,107535,2023-03-03 09:44:36
2023-02,1호선,157,제기동,220559,212160,259286,277782,2023-03-03 09:44:36
2023-02,1호선,158,청량리(서울시립대입구),307649,304860,239405,236513,2023-03-03 09:44:36
2023-02,1호선,159,동묘앞,122760,130605,146547,149164,2023-03-03 09:44:36
2023-02,2호선,201,시청,603886,574949,56467,50614,2023-03-03 09:44:36
2023-02,2호선,202,을지로입구,1117701,1144180,95387,89220,2023-03-03 09:44:36
2023-02,2호선,203,을지로3가,559224,557192,71963,70472,2023-03-03 09:44:36
2023-02,2호선,204,을지로4가,287713,295232,75682,75353,2023-03-03 09:44:36
2023-02,2호선,205,동대문역사문화공원(DDP),299618,340535,52014,55858,2023-03-03 09:44:36
2023-02,2호선,206,신당,302983,319533,89277,90495,2023-03-03 09:44:36
2023-02,2호선,207,상왕십리,319814,305573,62485,63334,2023-03-03 09:44:36
2023-02,2호선,208,왕십리(성동구청),384354,341797,49527,43188,2023-03-03 09:44:36
2023-02,2호선,209,한양대,181740,200094,12737,13282,2023-03-03 09:44:36
2023-02,2호선,210,뚝섬,558853,593553,54836,55287,2023-03-03 09:44:36
2023-02,2호선,211,성수,982582,1079958,98470,99812,2023-03-03 09:44:36
2023-02,2호선,212,건대입구,947004,1009896,86577,90060,2023-03-03 09:44:36
2023-02,2호선,213,구의(광진구청),551482,535706,99951,100902,2023-03-03 09:44:36
2023-02,2호선,214,강변(동서울터미널),788824,744138,110687,106819,2023-03-03 09:44:36
2023-02,2호선,215,잠실나루,307657,296019,80508,80074,2023-03-03 09:44:36
2023-02,2호선,216,잠실(송파구청),2014270,1985212,191556,183734,2023-03-03 09:44:36
2023-02,2호선,217,잠실새내,511176,509049,103873,104357,2023-03-03 09:44:36
2023-02,2호선,218,종합운동장,172371,191499,39974,41807,2023-03-03 09:44:36
2023-02,2호선,219,삼성(무역센터),1364566,1377939,109406,101497,2023-03-03 09:44:36
2023-02,2호선,220,선릉,1258668,1108299,205720,180182,2023-03-03 09:44:36
2023-02,2호선,221,역삼,1207249,1382107,136689,139243,2023-03-03 09:44:36
2023-02,2호선,222,강남,2115103,2067847,151412,133228,2023-03-03 09:44:36
2023-02,2호선,223,교대(법원.검찰청),728153,829756,147941,169227,2023-03-03 09:44:36
2023-02,2호선,224,서초,519507,491298,81948,81590,2023-03-03 09:44:36
2023-02,2호선,225,방배,353215,368477,72276,71928,2023-03-03 09:44:36
2023-02,2호선,226,사당,904657,1028914,202208,193251,2023-03-03 09:44:36
2023-02,2호선,227,낙성대(강감찬),649451,618110,101001,102000,2023-03-03 09:44:36
2023-02,2호선,228,서울대입구(관악구청),1110055,1063821,169957,158538,2023-03-03 09:44:36
2023-02,2호선,229,봉천,514951,471548,138377,139771,2023-03-03 09:44:36
2023-02,2호선,230,신림,1372341,1323380,187032,185405,2023-03-03 09:44:36
2023-02,2호선,231,신대방,575832,549999,117499,119526,2023-03-03 09:44:36
2023-02,2호선,232,구로디지털단지,1398543,1388292,174566,176493,2023-03-03 09:44:36
2023-02,2호선,233,대림(구로구청),545454,554641,120642,125032,2023-03-03 09:44:36
2023-02,2호선,234,신도림,1185168,1177208,201432,190952,2023-03-03 09:44:36
2023-02,2호선,235,문래,506102,524805,82280,82241,2023-03-03 09:44:36
2023-02,2호선,236,영등포구청,488789,504914,93274,93079,2023-03-03 09:44:36
2023-02,2호선,237,당산,438379,511479,56121,61753,2023-03-03 09:44:36
2023-02,2호선,238,합정,864608,954001,64906,65314,2023-03-03 09:44:36
2023-02,2호선,239,홍대입구,1826125,1942785,90954,87709,2023-03-03 09:44:36
2023-02,2호선,240,신촌,900881,917241,116589,114574,2023-03-03 09:44:36
2023-02,2호선,241,이대,342778,367763,46283,48708,2023-03-03 09:44:36
2023-02,2호선,242,아현,222919,206635,60491,59431,2023-03-03 09:44:36
2023-02,2호선,243,충정로(경기대입구),221835,237615,45526,45686,2023-03-03 09:44:36
2023-02,2호선,244,용답,58999,57517,16061,16007,2023-03-03 09:44:36
2023-02,2호선,245,신답,36167,40172,9414,9856,2023-03-03 09:44:36
2023-02,2호선,246,신설동,73324,71862,30829,32416,2023-03-03 09:44:36
2023-02,2호선,247,도림천,26879,28424,7226,8263,2023-03-03 09:44:36
2023-02,2호선,248,양천구청,140320,146733,47482,48211,2023-03-03 09:44:36
2023-02,2호선,249,신정네거리,212858,219402,67403,69335,2023-03-03 09:44:36
2023-02,2호선,250,용두(동대문구청),43091,41988,21768,22455,2023-03-03 09:44:36
2023-02,3호선,309,지축,136902,133301,28965,27980,2023-03-03 09:44:36
